"%s","%s"
"-- Please Select --","-- Please Select --"
"Actions","Actions"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","All"
"All Pages","All Pages"
"All Product Types","All Product Types"
"Anchor Categories","Anchor Categories"
"Apply","Apply"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Categories"
"Choose...","Choose..."
"Close","Close"
"Continue","Continue"
"Default Template","Default Template"
"Delete","Delete"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","Images"
"Insert Widget","Insert Widget"
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Next page"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","Trang"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Previous page"
"Products","Products"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","Select All"
"Select Visible","Chọn tất cả bản ghi hiện có"
"Settings","Settings"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","Có tất cả %d bản ghi được tìm thấy"
"Type","Type"
"Undefined Design Package or Theme.","Undefined Design Package or Theme."
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn các bản ghi"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","bản ghi được chọn"
"of %s pages","của %s trang"
"per page","per page"
"Pending", "Chờ xử lý"